Word	Annotation	Sense	Part of Speech	Level
anbieten, bietet an, bot an, hat angeboten	anbieten, bietet an, bot an, hat angeboten		verb	A1
Anbieter	der Anbieter, -		der	B1
Anblick	der Anblick, -e		der	B2+
anbringen, bringt an, brachte an, hat angebracht	anbringen, bringt an, brachte an, hat angebracht		verb	B2+
andauern, dauert an, dauerte an, hat angedauert	andauern, dauert an, dauerte an, hat angedauert		verb	B2+
andere	andere (r, s)		pron	A1
andererseits	andererseits		adv	B1
ändern, ändert, änderte, hat geändert	ändern, ändert, änderte, hat geändert		verb	A2
anders	anders		adv	A2
anderswo	anderswo		adv	B2+
Änderung	die Änderung, -en		die	B1
andeuten, deutet an, deutete an, hat angedeutet	andeuten, deutet an, deutete an, hat angedeutet		verb	B2+
anerkennen, erkennt an, erkannte an, hat anerkannt	anerkennen, erkennt an, erkannte an, hat anerkannt		verb	B1
Anerkennung	die Anerkennung, -en		die	B2+
anfallen, fällt an, fiel an, hat angefallen	anfallen, fällt an, fiel an, hat angefallen		verb	B2+
Anfang	der Anfang, -̈e		der	A1
anfangen, fängt an, fing an, hat angefangen	anfangen, fängt an, fing an, hat angefangen		verb	A1
anfänglich	anfänglich		adj	B2+
anfangs	anfangs		adv	B1
anfassen, fasst an, fasste an, hat angefasst	anfassen, fasst an, fasste an, hat angefasst		verb	B2+
Anforderung	die Anforderung, -en		die	B1
Anfrage	die Anfrage, -n		die	B2+
anfühlen, fühlt an, fühlte an, hat angefühlt	anfühlen, fühlt an, fühlte an, hat angefühlt		verb	B2+
anführen, führt an, führte an, hat angeführt	anführen, führt an, führte an, hat angeführt		verb	B2+
Angabe	die Angabe, -n		die	B1
angeben, gibt an, gab an, hat angegeben	angeben, gibt an, gab an, hat angegeben		verb	B1
angeblich	angeblich		adj	B1
Angebot	das Angebot, -e		das	A1
angehen, geht an, ging an, ist angegangen	angehen, geht an, ging an, ist angegangen		verb	B1
angehören, gehört an, gehörte an, hat angehört	angehören, gehört an, gehörte an, hat angehört		verb	B2+
Angehörige	die Angehörige		der, die	B1
Angelegenheit	die Angelegenheit, -en		die	B2+
angemessen	angemessen		adj	B2+
angenehm	angenehm		adj	B1
angesichts	angesichts		prep	B1
Angestellte	die Angestellte		der, die	B2+
angreifen, greift an, griff an, hat angegriffen	angreifen, greift an, griff an, hat angegriffen		verb	B1
Angriff	der Angriff, -e		der	B1
Angst	die Angst, -Äe		die	A2
angucken, guckt an, guckte an, hat angeguckt	angucken, guckt an, guckte an, hat angeguckt (ankucken)		verb	B2+
anhaben, hat an, hatte an, hat angehabt	anhaben, hat an, hatte an, hat angehabt		verb	B1
anhalten, hält an, hielt an, hat angehalten	anhalten, hält an, hielt an, hat angehalten		verb	B1
anhand	anhand		prep	B1
Anhang	der Anhang, -̈e		der	B2+
Anhänger	der Anhänger, -		der	B2+
anheben, hebt an, hob an, hat angehoben	anheben, hebt an, hob an, hat angehoben		verb	B2+
anhören, hört an, hörte an, hat angehört	anhören, hört an, hörte an, hat angehört		verb	B1
anklagen, klagt an, klagte an, hat angeklagt	anklagen, klagt an, klagte an, hat angeklagt		verb	B2+
ankommen, kommt an, kam an, ist angekommen	ankommen, kommt an, kam an, ist angekommen		verb	A1
ankündigen, kündigt an, kündigte an, hat angekündigt	ankündigen, kündigt an, kündigte an, hat angekündigt		verb	B1
Ankunft	die Ankunft, -̈e		die	A1
Anlage	die Anlage, -n		die	B1
Anlass	der Anlass, -̈e		der	B1
anlegen, legt an, legte an, hat angelegt	anlegen, legt an, legte an, hat angelegt		verb	B1
Anleger	der Anleger, -		der	B2+
Anleihe	die Anleihe, -n		die	B2+
Anliegen	das Anliegen, -		das	B2+
anmachen, macht an, machte an, hat angemacht	anmachen, macht an, machte an, hat angemacht		verb	A1
anmelden, meldet an, meldete an, hat angemeldet	anmelden, meldet an, meldete an, hat angemeldet		verb	A2
anmerken, merkt an, merkte an, hat angemerkt	anmerken, merkt an, merkte an, hat angemerkt		verb	B2+
Anmerkung	die Anmerkung, -en		die	B2+
annähern, nähert an, näherte an, hat angenähert	annähern, nähert an, näherte an, hat angenähert		verb	B2+
Annäherung	die Annäherung, -en		die	B2+
Annahme	die Annahme, -n		die	B1
annehmen, nimmt an, nahm an, hat angenommen	annehmen, nimmt an, nahm an, hat angenommen		verb	B1
anordnen, ordnet an, ordnete an, hat angeordnet	anordnen, ordnet an, ordnete an, hat angeordnet		verb	B2+
Anordnung	die Anordnung, -en		die	B2+
anorganisch	anorganisch		adj	B2+
anpassen, passt an, passte an, hat angepasst	anpassen, passt an, passte an, hat angepasst		verb	B1
Anpassung	die Anpassung, -en		die	B2+
anregen, regt an, regte an, hat angeregt	anregen, regt an, regte an, hat angeregt		verb	B1
Anregung	die Anregung, -en		die	B2+
Anreiz	der Anreiz, -e		der	B2+
Anruf	der Anruf, -e		der	A1
anrufen, ruft an, rief an, hat angerufen	anrufen, ruft an, rief an, hat angerufen		verb	A1
ansagen, sagt an, sagte an, hat angesagt	ansagen, sagt an, sagte an, hat angesagt		verb	B2+
Ansatz	der Ansatz, -̈e		der	B1
anschauen, schaut an, schaute an, hat angeschaut	anschauen, schaut an, schaute an, hat angeschaut		verb	A2
anscheinend	anscheinend		adj	B2+
Anschlag	der Anschlag, -̈e		der	B1
anschließen, schließt an, schloss an, hat angeschlossen	anschließen, schließt an, schloss an, hat angeschlossen		verb	B1
anschließend	anschließend		adv	B1
Anschluss	der Anschluss, -̈e		der	A1
ansehen, sieht an, sah an, hat angesehen	ansehen, sieht an, sah an, hat angesehen		verb	A2
ansetzen, setzt an, setzte an, hat angesetzt	ansetzen, setzt an, setzte an, hat angesetzt		verb	B1
Ansicht	die Ansicht, -en		die	B1
ansiedeln, siedelt an, siedelte an, hat angesiedelt	ansiedeln, siedelt an, siedelte an, hat angesiedelt		verb	B2+
ansonsten	ansonsten		adv	B1
ansprechen, spricht an, sprach an, hat angesprochen	ansprechen, spricht an, sprach an, hat angesprochen		verb	B1
Anspruch	der Anspruch, -̈e		der	B1
anspruchsvoll	anspruchsvoll		adj	B2+
anstarren, starrt an, starrte an, hat angestarrt	anstarren, starrt an, starrte an, hat angestarrt		verb	B2+
anstehen, steht an, stand an, hat angestanden	anstehen, steht an, stand an, hat angestanden		verb	B1
ansteigen, steigt an, stieg an, ist angestiegen	ansteigen, steigt an, stieg an, ist angestiegen		verb	B2+
anstelle	anstelle		prep	B2+
anstellen, stellt an, stellte an, hat angestellt	anstellen, stellt an, stellte an, hat angestellt		verb	B1
Anstieg	der Anstieg, -e		der	B1
anstoßen, stößt an, stieß an, hat angestoßen	anstoßen, stößt an, stieß an, hat angestoßen		verb	B2+
anstreben, strebt an, strebte an, hat angestrebt	anstreben, strebt an, strebte an, hat angestrebt		verb	B2+
anstrengend	anstrengend		adj	B2+
Anstrengung	die Anstrengung, -en		die	B2+
Anteil	der Anteil, -e		der	A2
Antibiotikum, Antibiotika	das Antibiotikum, die Antibiotika		das	B2+
antik	antik		adj	B2+
Antrag	der Antrag, -̈e		der	B1
antreffen, trifft an, traf an, hat angetroffen	antreffen, trifft an, traf an, hat angetroffen		verb	B2+
antreten, tritt an, trat an, hat angetreten	antreten, tritt an, trat an, hat angetreten		verb	B1
antun, tut an, tat an, hat angetan	antun, tut an, tat an, hat angetan		verb	B2+
Antwort	die Antwort, -en		die	A1
antworten, antwortet, antwortete, hat geantwortet	antworten, antwortet, antwortete, hat geantwortet		verb	A1
Anwalt	der Anwalt, -̈e		der	B1
anweisen, weist an, wies an, hat angewiesen	anweisen, weist an, wies an, hat angewiesen		verb	B2+
Anweisung	die Anweisung, -en		die	B2+
anwenden, wendet an, wandte an, hat angewandt	anwenden, wendet an, wandte an, hat angewandt		verb	B1
Anwendung	die Anwendung, -en		die	B1
anwesend	anwesend		adj	B2+
Anwesenheit	die Anwesenheit		die	B2+
Anwohner	der Anwohner, -		der	B2+
Anzahl	die Anzahl, -en		die	B1
Anzeige	die Anzeige, -n		die	A1
anzeigen, zeigt an, zeigte an, hat angezeigt	anzeigen, zeigt an, zeigte an, hat angezeigt		verb	B1
anziehen, zieht an, zog an, hat angezogen	anziehen, zieht an, zog an, hat angezogen		verb	B1
Anzug	der Anzug, -̈e		der	A2
anzünden, zündet an, zündete an, hat angezündet	anzünden, zündet an, zündete an, hat angezündet		verb	B2+
Apfel	der Apfel, -Ä		der	A1
App	die App, -s		die	B2+
Apparat	der Apparat, -e		der	A2
Applaus	der Applaus, -e		der	B2+
April	der April, -e		der	B1
arabisch	arabisch		adj, das	B1
Arbeit	die Arbeit, -en		die	A1
arbeiten, arbeitet, arbeitete, hat gearbeitet	arbeiten, arbeitet, arbeitete, hat gearbeitet		verb	A1
Arbeiter	der Arbeiter, -		der	B1
Arbeitgeber	der Arbeitgeber, -		der	B2+
Arbeitnehmer	der Arbeitnehmer, -		der	B2+
Arbeitskraft	die Arbeitskraft, -̈e		die	B2+
arbeitslos	arbeitslos		adj	A1
Arbeitslosenquote	die Arbeitslosenquote, -n		die	B2+
Arbeitslosigkeit	die Arbeitslosigkeit		die	B1
Arbeitsmarkt	der Arbeitsmarkt, -̈e		der	B2+
Arbeitsplatz	der Arbeitsplatz, -̈e		der	A1
Arbeitszeit	die Arbeitszeit, -en		die	B2+
Architekt	der Architekt, -en		der	B2+
Architektur	die Architektur, -en		die	B2+
Archiv	das Archiv, -e		das	B2+
Argentinien	Argentinien		das	B2+
Ärger	der Ärger		der	B2+
ärgern, ärgert, ärgerte, hat geärgert	ärgern, ärgert, ärgerte, hat geärgert		verb	A2
Argument	das Argument, -e		das	B1
argumentieren, argumentiert, argumentierte, hat argumentiert	argumentieren, argumentiert, argumentierte, hat argumentiert		verb	B2+
Arm	der Arm, -e		der	A1
arm	arm		adj	A1
Armee	die Armee, -n		die	B1
Armut	die Armut		die	B2+
aromatisch	aromatisch		adj	B2+
Arsch	der Arsch, -Äe		der	B2+
Arschloch	das Arschloch, -̈er		das	B2+
Art	die Art, -en		die	A1
Arterie	die Arterie, -n		die	B2+
Artikel	der Artikel, -		der	A2
Arzt	der Arzt, -Äe		der	A1
ärztlich	ärztlich		adj	B2+
asiatisch	asiatisch		adj	B2+
Asien	Asien		das	B2+
Aspekt	der Aspekt, -e		der	B1
Assistent	der Assistent, -en		der	B2+
Ast	der Ast, -Äe		der	B2+
ästhetisch	ästhetisch		adj	B2+
Asyl	das Asyl, -e		das	B2+
Asylbewerber	der Asylbewerber, -		der	B2+
asymmetrisch	asymmetrisch		adj	B2+
Atelier	das Atelier, -s		das	B2+
Atem	der Atem		der	B2+
Athlet	der Athlet, -en		der	B2+
atmen, atmet, atmete, hat geatmet	atmen, atmet, atmete, hat geatmet		verb	B1
Atmosphäre	die Atmosphäre, -n		die	B1
Atom	das Atom, -e		das	A2
Atomkern	der Atomkern, -e		der	B2+
Attacke	die Attacke, -n		die	B2+
Attentat	das Attentat, -e		das	B2+
attraktiv	attraktiv		adj	B1
Attribut	das Attribut, -e		das	B2+
au	au		interj	B2+
auch	auch		adv	A1
auf	auf		prep	A1
Aufbau	der Aufbau, -ten		der	B1
aufbauen, baut auf, baute auf, hat aufgebaut	aufbauen, baut auf, baute auf, hat aufgebaut		verb	A2
aufbrechen, bricht auf, brach auf, hat aufgebrochen	aufbrechen, bricht auf, brach auf, hat aufgebrochen		verb	B2+
aufbringen, bringt auf, brachte auf, hat aufgebracht	aufbringen, bringt auf, brachte auf, hat aufgebracht		verb	B2+
aufeinander	aufeinander		adv	B2+
Aufenthalt	der Aufenthalt, -e		der	B2+
auffallen, fällt auf, fiel auf, ist aufgefallen	auffallen, fällt auf, fiel auf, ist aufgefallen		verb	B1
auffällig	auffällig		adj	B2+
Auffassung	die Auffassung, -en		die	B2+
auffordern, fordert auf, forderte auf, hat aufgefordert	auffordern, fordert auf, forderte auf, hat aufgefordert		verb	B2+
aufführen, führt auf, führte auf, hat aufgeführt	aufführen, führt auf, führte auf, hat aufgeführt		verb	B1
Aufführung	die Aufführung, -en		die	B2+
Aufgabe	die Aufgabe, -n		die	A1
aufgeben, gibt auf, gab auf, hat aufgegeben	aufgeben, gibt auf, gab auf, hat aufgegeben		verb	B1
aufgehen, geht auf, ging auf, ist aufgegangen	aufgehen, geht auf, ging auf, ist aufgegangen		verb	B1
aufgreifen, greift auf, griff auf, hat aufgegriffen	aufgreifen, greift auf, griff auf, hat aufgegriffen		verb	B2+
aufgrund	aufgrund		prep	A2
aufhalten, hält auf, hielt auf, hat aufgehalten	aufhalten, hält auf, hielt auf, hat aufgehalten		verb	B1
aufheben, hebt auf, hob auf, hat aufgehoben	aufheben, hebt auf, hob auf, hat aufgehoben		verb	B1
aufhören, hört auf, hörte auf, hat aufgehört	aufhören, hört auf, hörte auf, hat aufgehört		verb	A2
aufklären, klärt auf, klärte auf, hat aufgeklärt	aufklären, klärt auf, klärte auf, hat aufgeklärt		verb	B2+
Aufklärung	die Aufklärung, -en		die	B2+
aufkommen, kommt auf, kam auf, ist aufgekommen	aufkommen, kommt auf, kam auf, ist aufgekommen		verb	B1
Auflage	die Auflage, -n		die	B1
auflegen, legt auf, legte auf, hat aufgelegt	auflegen, legt auf, legte auf, hat aufgelegt		verb	B2+
auflösen, löst auf, löste auf, hat aufgelöst	auflösen, löst auf, löste auf, hat aufgelöst		verb	B1
Auflösung	die Auflösung, -en		die	B2+
aufmachen, macht auf, machte auf, hat aufgemacht	aufmachen, macht auf, machte auf, hat aufgemacht		verb	A2
aufmerksam	aufmerksam		adj	B1
Aufmerksamkeit	die Aufmerksamkeit, -en		die	B1
Aufnahme	die Aufnahme, -n		die	B1
aufnehmen, nimmt auf, nahm auf, hat aufgenommen	aufnehmen, nimmt auf, nahm auf, hat aufgenommen		verb	B1
aufpassen, passt auf, passte auf, hat aufgepasst	aufpassen, passt auf, passte auf, hat aufgepasst		verb	A2
aufregen, regt auf, regte auf, hat aufgeregt	aufregen, regt auf, regte auf, hat aufgeregt		verb	B1
Aufregung	die Aufregung, -en		die	B2+
aufreißen, reißt auf, riss auf, hat aufgerissen	aufreißen, reißt auf, riss auf, hat aufgerissen		verb	B2+
aufrichten, richtet auf, richtete auf, hat aufgerichtet	aufrichten (sich), richtet auf, richtete auf, hat aufgerichtet		verb	B2+
aufrufen, ruft auf, rief auf, hat aufgerufen	aufrufen, ruft auf, rief auf, hat aufgerufen		verb	B2+
aufsagen, sagt auf, sagte auf, hat aufgesagt	aufsagen, sagt auf, sagte auf, hat aufgesagt		verb	B2+
Aufsatz	der Aufsatz, -̈e		der	B2+
aufschlagen, schlägt auf, schlug auf, hat aufgeschlagen	aufschlagen, schlägt auf, schlug auf, hat aufgeschlagen		verb	B2+
aufschreiben, schreibt auf, schrieb auf, hat aufgeschrieben	aufschreiben, schreibt auf, schrieb auf, hat aufgeschrieben		verb	B1
aufsetzen, setzt auf, setzte auf, hat aufgesetzt	aufsetzen, setzt auf, setzte auf, hat aufgesetzt		verb	B2+
Aufsichtsrat	der Aufsichtsrat, -̈e		der	B2+
aufspringen, springt auf, sprang auf, ist aufgesprungen	aufspringen, springt auf, sprang auf, ist aufgesprungen		verb	B2+
aufstehen, steht auf, stand auf, ist aufgestanden	aufstehen, steht auf, stand auf, ist aufgestanden		verb	A1
aufsteigen, steigt auf, stieg auf, ist aufgestiegen	aufsteigen, steigt auf, stieg auf, ist aufgestiegen		verb	B1
aufstellen, stellt auf, stellte auf, hat aufgestellt	aufstellen, stellt auf, stellte auf, hat aufgestellt		verb	B1
Aufstieg	der Aufstieg, -e		der	B2+
aufsuchen, sucht auf, suchte auf, hat aufgesucht	aufsuchen, sucht auf, suchte auf, hat aufgesucht		verb	B2+
auftauchen, taucht auf, tauchte auf, ist aufgetaucht	auftauchen, taucht auf, tauchte auf, ist aufgetaucht		verb	B1
Auftrag	der Auftrag, -̈e		der	B1
auftreten, tritt auf, trat auf, ist aufgetreten	auftreten, tritt auf, trat auf, ist aufgetreten		verb, das	B1
Auftritt	der Auftritt, -e		der	B1
aufwachen, wacht auf, wachte auf, ist aufgewacht	aufwachen, wacht auf, wachte auf, ist aufgewacht		verb	B1
aufwachsen, wächst auf, wuchs auf, ist aufgewachsen	aufwachsen, wächst auf, wuchs auf, ist aufgewachsen		verb	B1
Aufwand	der Aufwand, -̈e		der	B2+
aufweisen, weist auf, wies auf, hat aufgewiesen	aufweisen, weist auf, wies auf, hat aufgewiesen		verb	B1
aufwendig	aufwendig		adj	B2+
Aufwendung	die Aufwendung, -en		die	B2+
aufzeigen, zeigt auf, zeigte auf, hat aufgezeigt	aufzeigen, zeigt auf, zeigte auf, hat aufgezeigt		verb	B2+
aufziehen, zieht auf, zog auf, hat aufgezogen	aufziehen, zieht auf, zog auf, hat aufgezogen		verb	B2+
Auge	das Auge, -n		das	A1
Augenblick	der Augenblick, -e		der	B1
August	der August, -e		der	B1
aus	aus		prep	A1
Ausbau	der Ausbau, -ten		der	B2+
ausbauen, baut aus, baute aus, hat ausgebaut	ausbauen, baut aus, baute aus, hat ausgebaut		verb	B1
ausbilden, bildet aus, bildete aus, hat ausgebildet	ausbilden, bildet aus, bildete aus, hat ausgebildet		verb	B1
Ausbildung	die Ausbildung, -en		die	A2
ausbleiben, bleibt aus, blieb aus, ist ausgeblieben	ausbleiben, bleibt aus, blieb aus, ist ausgeblieben		verb	B2+
Ausblick	der Ausblick, -e		der	B2+
ausbrechen, bricht aus, brach aus, hat ausgebrochen	ausbrechen, bricht aus, brach aus, hat ausgebrochen		verb	B2+
ausbreiten, breitet aus, breitete aus, hat ausgebreitet	ausbreiten, breitet aus, breitete aus, hat ausgebreitet		verb	B2+
ausdehnen, dehnt aus, dehnte aus, hat ausgedehnt	ausdehnen, dehnt aus, dehnte aus, hat ausgedehnt		verb	B2+
ausdenken, denkt aus, dachte aus, hat ausgedacht	ausdenken, denkt aus, dachte aus, hat ausgedacht		verb	B2+
Ausdruck	der Ausdruck, -̈e		der	B1
ausdrücken, drückt aus, drückte aus, hat ausgedrückt	ausdrücken, drückt aus, drückte aus, hat ausgedrückt		verb	B1
ausdrücklich	ausdrücklich		adj	B2+
auseinandersetzen, setzt auseinander, setzte auseinander, hat auseinandergesetzt	auseinandersetzen, setzt auseinander, setzte auseinander, hat auseinandergesetzt		verb	B2+
Auseinandersetzung	die Auseinandersetzung, -en		die	B1
