Word	Annotation	Sense	Part of Speech	Level	English
Apfel	der Apfel, -Ä		der	A1	apple
autonom	autonom		adj	B2+	autonomous
blond	blond		adj	A2	blond
anstrengend	anstrengend		adj	B2+	exhausting
Bär	der Bär, -en		der	B2+	bear
hinzu	hinzu		adv	B2+	in addition
lateinisch	lateinisch		adj	B2+	Latin
Menschenrecht	das Menschenrecht, -e		das	B2+	human right
mühsam	mühsam		adj	B2+	strenuous, laborious
präzise	präzise		adj	B2+	precise
Wahnsinn	der Wahnsinn		der	B2+	madness, insanity, lunacy
Anruf	der Anruf, -e		der	A1	call
feststehen, steht fest, stand fest, hat festgestanden	feststehen, steht fest, stand fest, hat festgestanden		verb	B1	to be certain, fixed, firm
Sieger	der Sieger, -		der	B1	winner
Unterkunft	die Unterkunft, -̈e		die	A2	accommodation
Verknüpfung	die Verknüpfung, -en		die	B2+	combination, link
anfühlen, fühlt an, fühlte an, hat angefühlt	anfühlen, fühlt an, fühlte an, hat angefühlt		verb	B2+	to feel
düster	düster		adj	B2+	gloomy
freisetzen, setzt frei, setzte frei, hat freigesetzt	freisetzen, setzt frei, setzte frei, hat freigesetzt		verb	B2+	to release
Kompromiss	der Kompromiss, -e		der	B1	compromise
Maßstab	der Maßstab, -̈e		der	B2+	scale, yardstick, standard
skizzieren, skizziert, skizzierte, hat skizziert	skizzieren, skizziert, skizzierte, hat skizziert		verb	B2+	to outline, sketch
starr	starr		adj	B2+	stiff, rigid, paralyzed
Vorhang	der Vorhang, -̈e		der	B2+	curtain
Währung	die Währung, -en		die	B2+	currency
Wüste	die Wüste, -n		die	B2+	desert
berufen, beruft, berief, hat berufen	berufen, beruft, berief, hat berufen		verb	B2+	to appoint
eingreifen, greift ein, griff ein, hat eingegriffen	eingreifen, greift ein, griff ein, hat eingegriffen		verb	B2+	to intervene
Tasse	die Tasse, -n		die	A2	cup
unterstellen, unterstellt, unterstellte, hat unterstellt	unterstellen, unterstellt, unterstellte, hat unterstellt		verb	B2+	to put in charge, imply, store
vorbeigehen, geht vorbei, ging vorbei, ist vorbeigegangen	vorbeigehen, geht vorbei, ging vorbei, ist vorbeigegangen		verb	B2+	to go past, pass
Flamme	die Flamme, -n		die	B2+	flame
Frühling	der Frühling, -e		der	B2+	spring
langjährig	langjährig		adj	B2+	long-standing
Maximum, Maxima	das Maximum, die Maxima		das	B2+	maximum
Militär	das Militär		das	B2+	military
oftmals	oftmals		adv	B2+	frequently
Papst	der Papst, -̈e		der	B2+	pope
Profi	der Profi, -s		der	B1	pro, professional
Aufregung	die Aufregung, -en		die	B2+	excitement
