Word	Annotation	Sense	Part of Speech	Level	English
der	der		art, pron, pron	A1	the; that, those; who, that
und	und		conj	A1	and
in	in		prep	A1	in
sein, ist, war, ist gewesen	sein, ist, war, ist gewesen		verb, aux	A1	to be; (past tense)
ein	ein		art, pron	A1	a, an; one (of)
haben, hat, hatte, hat gehabt	haben, hat, hatte, hat gehabt		verb, aux	A1	to have; (past tense)
sie	sie		pron, pron, pron	A1	she, her; they, them; you
werden, wird, wurde, ist geworden	werden, wird, wurde, ist geworden		verb, aux, aux	A1	to become, get; (future tense); (passive voice)
von	von		prep	A1	from, of
ich	ich		pron	A1	I
nicht	nicht		part	A1	not
es	es		pron	A1	it
mit	mit		prep	A1	with
sich	sich		pron	A1	-self
er	er		pron	A1	he
auf	auf		prep	A1	on, at, to
für	für		prep	A1	for
auch	auch		adv	A1	also, too
an	an		prep	A1	at, on
dass	dass		conj	A1	that
zu	zu		part, prep, part	A1	to; to; too
als	als		conj, part	A1	as, when; than
können, kann, konnte, hat gekonnt	können, kann, konnte, hat gekonnt		verb	A1	to be able to, can
dies	dies		pron	A1	this, that
wie	wie		pron, part	A1	how; as
wir	wir		pron	A1	we
ihr	ihr		pron, pron, pron	A1	you, her; her, their, hers, theirs; your
so	so		adv, part	A1	so, thus, the way, such; so
bei	bei		prep	A1	by, with, at
sein	sein		pron	A1	his, its
aber	aber		conj, part	A1	but
man	man		pron	A1	one, you, they
noch	noch		adv	A1	still, yet
nach	nach		prep	A1	after, toward
oder	oder		conj	A1	or
all	all		pron	A1	all
aus	aus		prep	A1	out, out of, from
was	was		pron	A1	what
nur	nur		adv	A1	only
sagen, sagt, sagte, hat gesagt	sagen, sagt, sagte, hat gesagt		verb	A1	to say, tell
dann	dann		adv	A1	then
wenn	wenn		conj	A1	if, when
müssen, muss, musste, hat gemusst	müssen, muss, musste, hat gemusst		verb	A1	to have to, must
um	um		prep, conj	A1	around, at; in order to
ja	ja		part	A1	yes, of course
kein	kein		pron	A1	no
über	über		prep	A1	above, over, about
da	da		adv, conj	A1	there; because
geben, gibt, gab, hat gegeben	geben, gibt, gab, hat gegeben		verb	A1	to give
vor	vor		prep	A1	in front of, before, ago
mein	mein		pron	A1	my, mine
mehr	mehr		adv	A1	more
Jahr	das Jahr, -e		das	A1	year
du	du		pron	A1	you
durch	durch		prep	A1	through
viel	viel		pron	A1	much, a lot, many
wollen, will, wollte, hat gewollt	wollen, will, wollte, hat gewollt		verb	A1	to want to
machen, macht, machte, hat gemacht	machen, macht, machte, hat gemacht		verb	A1	to do, make
andere	andere (r, s)		pron	A1	other
sollen, soll, sollte, hat gesollt	sollen, soll, sollte, hat gesollt		verb	A1	should, ought to
schon	schon		adv, part	A1	already
kommen, kommt, kam, ist gekommen	kommen, kommt, kam, ist gekommen		verb	A1	to come
mir	mir		pron	A1	me
immer	immer		adv	A1	always
mich	mich		pron, (Reflexive pronoun in the acc.)	A1	me
gehen, geht, ging, ist gegangen	gehen, geht, ging, ist gegangen		verb	A1	to go
groß	groß		adj	A1	big, large, great
hier	hier		adv	A1	here
ganz	ganz		adj, part	A2	whole, all the; quite
zwei	zwei		num	A1	two
also	also		adv	A1	so
jetzt	jetzt		adv	A1	now
doch	doch		adv, part	A1	however, but
wieder	wieder		adv	A2	again
uns	uns		pron	A1	us, we
gut	gut		adj	A1	good
bis	bis		prep, conj	A1	until, till; until
wissen, weiß, wusste, hat gewusst	wissen, weiß, wusste, hat gewusst		verb	A1	to know
sehen, sieht, sah, hat gesehen	sehen, sieht, sah, hat gesehen		verb	A1	to see
einer	einer		pron	A1	(some)one
sehr	sehr		adv	A1	very
Mal	Mal		das, conj, part	A1	time, mark; times
lassen, lässt, ließ, hat gelassen	lassen, lässt, ließ, hat gelassen		verb	A2	to let, allow, have done
neu	neu		adj	A1	new
stehen, steht, stand, hat gestanden	stehen, steht, stand, hat gestanden		verb	A1	to stand
unser	unser		pron	A1	our
jede	jede (r, s)		pron	A1	every
weil	weil		conj	A1	because
unter	unter		prep	A1	under
Mensch	der Mensch, -en		der	A1	human being
ihm	ihm		pron	A1	him
ihn	ihn		pron	A1	him
denn	denn		conj, part	A1	because; anyway
Beispiel	das Beispiel, -e		das	A1	example
erste	erste (r, s)		adj	A1	first
Zeit	die Zeit, -en		die	A1	time
lang	lang		adj, adv	A1	long; for a long time
leben, lebt, lebte, hat gelebt	leben, lebt, lebte, hat gelebt		verb	A1	to live
Frau	die Frau, -en		die	A1	woman, wife, Mrs.
etwas	etwas		pron	A2	something, some, a little
selbst, selber	selbst, selber		pron, part	A2	-self; even
wenig	wenig		adj, pron	A1	few; little, few
finden, findet, fand, hat gefunden	finden, findet, fand, hat gefunden		verb	A1	to find
gegen	gegen		prep	A1	against
zwischen	zwischen		prep	A1	between
drei	drei		num	A1	three
liegen, liegt, lag, hat gelegen	liegen, liegt, lag, hat gelegen		verb	A1	to lie
wo	wo		pron	A1	where
nichts, nix	nichts, nix		pron	A1	nothing
klein	klein		adj	A1	small, little
Tag	der Tag, -e		der	A1	day
deutsch	deutsch		adj, das	A1	German; German
bleiben, bleibt, blieb, ist geblieben	bleiben, bleibt, blieb, ist geblieben		verb	A1	to stay, remain
nun, nu	nun, nu		adv	A1	now
sondern	sondern		conj	B1	but (on the contrary)
heute	heute		adv	A1	today
beide	beide		pron	A1	both
hoch	hoch		adj	A1	high, tall
damit	damit		pron	B1	so that
ohne	ohne		prep, conj	A1	without; without
Mann	der Mann, -̈er		der	A1	man
welch	welch, -e, -er, -es		pron	A1	which
tun, tut, tat, hat getan	tun, tut, tat, hat getan		verb	A1	to do
einmal	einmal		adv	A1	once
ihnen	ihnen		pron, pron	A1	them; you
heißen, heißt, hieß, hat geheißen	heißen, heißt, hieß, hat geheißen		verb	A1	to be called
ob	ob		conj	B1	whether, if
denken, denkt, dachte, hat gedacht	denken, denkt, dachte, hat gedacht		verb	A2	to think
dabei	dabei		pron	A2	with it, there
seit	seit		prep	A1	since, for
einfach	einfach		adj, part	A1	simple, easy; simply
erst	erst		adv, part	A1	first, only, not until
Kind	das Kind, -er		das	A1	child
Land	das Land, -̈er		das	A1	land, country, state
stellen, stellt, stellte, hat gestellt	stellen, stellt, stellte, hat gestellt		verb	A1	to place, set, put
zeigen, zeigt, zeigte, hat gezeigt	zeigen, zeigt, zeigte, hat gezeigt		verb	A2	to show
natürlich	natürlich		adj, adv	A2	natural; naturally, of course
alt	alt		adj	A1	old
dort	dort		adv	A1	there
Deutschland	Deutschland		das	A1	Germany
gleich	gleich		adj	A1	same, right away, just
nehmen, nimmt, nahm, hat genommen	nehmen, nimmt, nahm, hat genommen		verb	A1	to take
dürfen, darf, durfte, hat gedurft	dürfen, darf, durfte, hat gedurft		verb	A1	to be allowed to may
wichtig	wichtig		adj	A1	important
vielleicht	vielleicht		adv, part	A1	perhaps, maybe
hören, hört, hörte, hat gehört	hören, hört, hörte, hat gehört		verb	A1	to hear
Haus	das Haus, -̈er		das	A1	house
nein, nee, nö	nein, nee, nö		part	A1	no
wer	wer		pron	A1	who, whoever
dazu	dazu		pron	A1	in addition, furthermore, to that, for that
eigentlich	eigentlich		adj, adv, part	A2	actual, real; actually
letzte	letzte (r, s)		adj	A1	last
fragen, fragt, fragte, hat gefragt	fragen, fragt, fragte, hat gefragt		verb	A1	to ask
Herr	der Herr, -en		der	A1	Mr.
halten, hält, hielt, hat gehalten	halten, hält, hielt, hat gehalten		verb	A1	to stop, hold
glauben, glaubt, glaubte, hat geglaubt	glauben, glaubt, glaubte, hat geglaubt		verb	A1	to believe
Frage	die Frage, -n		die	A1	question
gelten, gilt, galt, hat gegolten	gelten, gilt, galt, hat gegolten		verb	B1	to be valid
gerade	gerade		adj, adv	A1	straight; just, just now, right now
folgen, folgt, folgte, ist gefolgt	folgen, folgt, folgte, ist gefolgt		verb	B1	to follow
sprechen, spricht, sprach, hat gesprochen	sprechen, spricht, sprach, hat gesprochen		verb	A1	to speak
führen, führt, führte, hat geführt	führen, führt, führte, hat geführt		verb	B1	to lead
bringen, bringt, brachte, hat gebracht	bringen, bringt, brachte, hat gebracht		verb	A1	to bring, take
Welt	die Welt, -en		die	A1	world
gar	gar		adv	A1	at all
eigen	eigen		adj	A2	own
genau	genau		adj	A2	exact
mögen, mag, mochte, hat gemocht	mögen, mag, mochte, hat gemocht		verb	A1	to like
spät	spät		adj, adj	A1	late; later
bereits	bereits		adv	B1	already
möglich	möglich		adj, adv	A1	possible; as . . . as possible, if possible
Prozent	das Prozent, -e		das	A1	percent
während	während		prep, conj	B1	during, while; while, whereas
einige	einige		pron	A1	a few, some
dafür	dafür		pron	A2	for it, for that
kurz	kurz		adj	A1	short
richtig	richtig		adj	A1	correct, right
stark	stark		adj	A2	strong
brauchen, braucht, brauchte, hat gebraucht	brauchen, braucht, brauchte, hat gebraucht		verb	A1	to need
Hand	die Hand, -̈e		die	A1	hand
etwa	etwa		adv, part	B1	about, approximately; after all
weitere	weitere (r, s)		adj	A1	additional, further
Ende	das Ende, -n		das	A1	end
schreiben, schreibt, schrieb, hat geschrieben	schreiben, schreibt, schrieb, hat geschrieben		verb	A1	to write
solch	solch		pron	B1	such
nie	nie		adv	A1	never
Fall	der Fall, -̈e		der	B1	fall, case
schön	schön		adj	A1	beautiful, pleasant, good
wirklich	wirklich		adj, adv	A2	real, actual; really, actually
denen	denen		pron	A1	whom, that
nennen, nennt, nannte, hat genannt	nennen, nennt, nannte, hat genannt		verb	A2	to name, call
warum	warum		adv	A1	why
ziehen, zieht, zog, hat gezogen	ziehen, zieht, zog, hat gezogen		verb	B1	to pull, move
Wort	das Wort, -̈er		das	A1	word
darauf, drauf	darauf, drauf		pron	A1	on it, to it
eben, ebend	eben, ebend		adv, part	B1	just, now
Seite	die Seite, -n		die	A2	side, page
Teil	das Teil, -e		der, das	A1	part
jung	jung		adj	A1	young
vier	vier		num	A1	four
besser	besser		adj	A1	better
fast	fast		adv	A2	almost
schnell	schnell		adj	A1	fast
Stadt	die Stadt, -̈e		die	A1	city, town
spielen, spielt, spielte, hat gespielt	spielen, spielt, spielte, hat gespielt		verb	A1	to play
zwar	zwar		adv	B1	admittedly, to be precise
Euro	der Euro, -s		der	A1	euro (unit of currency)
Arbeit	die Arbeit, -en		die	A1	work
Million, Mio.	Million, Mio.		die	A1	million
Problem	das Problem, -e		das	A1	problem
verstehen, versteht, verstand, hat verstanden	verstehen, versteht, verstand, hat verstanden		verb	A1	to understand
bekommen, bekommt, bekam, hat bekommen	bekommen, bekommt, bekam, hat bekommen		verb	A1	to get, receive
meinen, meint, meinte, hat gemeint	meinen, meint, meinte, hat gemeint		verb	A1	to think, have an opinion
davon	davon		pron	A1	from it, about it, thereof
fahren, fährt, fuhr, ist gefahren	fahren, fährt, fuhr, ist gefahren		verb	A1	to drive, ride, go
kennen, kennt, kannte, hat gekannt	kennen, kennt, kannte, hat gekannt		verb	A1	to know
dich	dich		pron	A1	you, yourself
Mutter	die Mutter, -̈		die	A1	mother
Woche	die Woche, -n		die	A1	week
Weg	der Weg, -e		der	A1	path, way
weiter	weiter		adv	A1	further
Auge	das Auge, -n		das	A1	eye
oft	oft		adv	A1	often
Leute	Leute		die (pl)	A1	people
allerdings	allerdings		adv	B1	though, indeed, certainly
sogar	sogar		adv	A2	even, in fact
jedoch	jedoch		adv	B1	however
setzen, setzt, setzte, hat gesetzt	setzen, setzt, setzte, hat gesetzt		verb, verb	A2	to set, place, put; to sit down
deshalb	deshalb		adv	A2	therefore
weit	weit		adj	A1	widely, far
sitzen, sitzt, saß, hat gesessen	sitzen, sitzt, saß, hat gesessen		verb	A1	to sit
Vater	der Vater, -̈		der	A1	father
dein	dein		pron	A1	your
arbeiten, arbeitet, arbeitete, hat gearbeitet	arbeiten, arbeitet, arbeitete, hat gearbeitet		verb	A1	to work
Geld	das Geld, -er		das	A1	money
Unternehmen	das Unternehmen, -		das	A2	enterprise, company
nächste	nächste (r, s)		adj	A2	next
erklären, erklärt, erklärte, hat erklärt	erklären, erklärt, erklärte, hat erklärt		verb	A1	to explain
klar	klar		adj	A1	clear
Doktor	der Doktor, -en (Dr.)		der	A1	doctor
Paar	das Paar, -e		das, pron	A2	pair, couple; a few
Recht	das Recht, -e		das, adj, part	B1	right, law; all right; rather, quite
wegen	wegen		prep	A2	because of
dir	dir		pron	A1	you
Wasser	das Wasser, -		das	A1	water
bestehen, besteht, bestand, hat bestanden	bestehen, besteht, bestand, hat bestanden		verb	A2	to exist, insist, pass (an exam)
versuchen, versucht, versuchte, hat versucht	versuchen, versucht, versuchte, hat versucht		verb	A2	to try, attempt
Punkt	der Punkt, -e		der	B1	dot, point, period
Grund	der Grund, -̈e		der	B1	reason, basis
Kopf	der Kopf, -̈e		der	A1	head
beginnen, beginnt, begann, hat begonnen	beginnen, beginnt, begann, hat begonnen		verb	A1	to begin
laufen, läuft, lief, ist gelaufen	laufen, läuft, lief, ist gelaufen		verb	A1	to run
Bild	das Bild, -er		das	A1	picture
verschieden	verschieden		adj	A2	different, diverse
Name	der Name, -n		der	A1	name
Aufgabe	die Aufgabe, -n		die	A1	task, assignment, job
schwer	schwer		adj	A1	difficult, heavy
entsprechen, entspricht, entsprach, hat entsprochen	entsprechen, entspricht, entsprach, hat entsprochen		verb	A1	to correspond
treffen, trifft, traf, hat getroffen	treffen, trifft, traf, hat getroffen		verb	A2	to meet
Art	die Art, -en		die	A1	type, kind
wohl	wohl		adv, part	B1	well; probably
Geschichte	die Geschichte, -n		die	A2	history, story
erzählen, erzählt, erzählte, hat erzählt	erzählen, erzählt, erzählte, hat erzählt		verb	A1	to tell
entstehen, entsteht, entstand, ist entstanden	entstehen, entsteht, entstand, ist entstanden		verb	B1	to originate, develop
sicher	sicher		adj	A2	safe, secure, certain
neben	neben		prep	A2	next to, beside
allein, alleine	allein, alleine		adv	A1	alone
Abbildung	die Abbildung, -en (Abb.)		die	B1	illustration
hinter	hinter		prep	A2	behind, in back of
besonders	besonders		adv	A2	particularly
tragen, trägt, trug, hat getragen	tragen, trägt, trug, hat getragen		verb	A2	to carry, wear
kaum	kaum		adv	B1	hardly
Freund	der Freund, -e		der	A1	friend
fünf	fünf		num	A1	five
scheinen, scheint, schien, hat geschienen	scheinen, scheint, schien, hat geschienen		verb	A1	to shine, seem, appear
Stunde	die Stunde, -n		die	A1	hour
aussehen, sieht aus, sah aus, hat ausgesehen	aussehen, sieht aus, sah aus, hat ausgesehen		verb	A1	to appear, look
gern, gerne	gern, gerne		adv	A1	(with a verb) love to
überhaupt	überhaupt		adv	B1	at all, generally
bestimmt	bestimmt		adj	B1	special, certain
sowie	sowie		conj	A1	as well as, as soon as, plus
Professor	der Professor, -en		der	B1	professor
darüber, drüber	darüber, drüber		pron	A1	above it, about it
deren	deren		pron	A1	whose
schaffen, schafft, schuf, hat geschaffen	schaffen, schafft, schuf, hat geschaffen		verb	A2	to manage, create
damals	damals		pron	A2	then
erhalten, erhält, erhielt, hat erhalten	erhalten, erhält, erhielt, hat erhalten		verb	B1	to receive
lernen, lernt, lernte, hat gelernt	lernen, lernt, lernte, hat gelernt		verb	A1	to learn
frei	frei		adj	A1	free
Wert	der Wert, -e		der, adj	B1	value; worth
beziehungsweise, bzw.	beziehungsweise, bzw.		conj	A1	or, respectively
daran, dran	daran, dran		pron	A1	on it
suchen, sucht, suchte, hat gesucht	suchen, sucht, suchte, hat gesucht		verb	A1	to search, look for
Europa	Europa		das	A1	Europe
gemeinsam	gemeinsam		adj	B1	common, mutual
rund	rund		adj, adv	A2	round; approximately
Zahl	die Zahl, -en		die	A2	number
Thema	das Thema, -en		das	A1	subject, topic, theme
handeln, handelt, handelte, hat gehandelt	handeln, handelt, handelte, hat gehandelt		verb	A1	to deal, trade
Buch	das Buch, -̈er		das	A1	book
bisschen, bissel	bisschen, bissel		pron	A1	a little
deutlich	deutlich		adj	A2	clear
anders	anders		adv	A2	different, differently
politisch	politisch		adj	B1	political
lesen, liest, las, hat gelesen	lesen, liest, las, hat gelesen		verb	A1	to read
Blick	der Blick, -e		der	A1	look, view, glance
Form	die Form, -en		die	B1	form, shape
einzeln	einzeln		adj	B1	individual, single, separately
erreichen, erreicht, erreichte, hat erreicht	erreichen, erreicht, erreichte, hat erreicht		verb	A2	to achieve, reach
vergehen, vergeht, verging, hat vergangen	vergehen, vergeht, verging, hat vergangen		verb	A1	to pass (time)
leicht	leicht		adj	A1	light, easy
je	je		adv, conj	B1	ever, each; the more
verlieren, verliert, verlor, hat verloren	verlieren, verliert, verlor, hat verloren		verb	A2	to lose
beste	beste (r, s)		adj	A1	best
bilden, bildet, bildete, hat gebildet	bilden, bildet, bildete, hat gebildet		verb	A1	to form, educate
Monat	der Monat, -e		der	A1	month
Lösung	die Lösung, -en		die	A1	solution
Sache	die Sache, -n		die	A2	thing
bekannt	bekannt		adj	A1	well-known, famous
Ziel	das Ziel, -e		das	A2	destination, goal
steigen, steigt, stieg, ist gestiegen	steigen, steigt, stieg, ist gestiegen		verb	B1	to climb, increase
eher	eher		adv	B1	sooner, earlier, more likely, rather
essen, isst, aß, hat gegessen	essen, isst, aß, hat gegessen		verb	A1	to eat
Minute	die Minute, -n		die	A1	minute
Nacht	die Nacht, -̈e		die, adv	A1	night; at night, nights
Platz	der Platz, -̈e		der	A1	place, room, square
schlecht	schlecht		adj	A1	bad
Spiel	das Spiel, -e		das	A2	game, match
Familie	die Familie, -n		die	A1	family
jemand	jemand		pron	A2	someone, somebody
dessen	dessen		pron	A1	whose
fallen, fällt, fiel, ist gefallen	fallen, fällt, fiel, ist gefallen		verb	A2	to fall
zehn	zehn		num	A1	ten
Preis	der Preis, -e		der	A1	price, prize
europäisch	europäisch		adj	A1	European
sonst	sonst		adv	A2	otherwise
Staat	der Staat, -en		der	A1	state
helfen, hilft, half, hat geholfen	helfen, hilft, half, hat geholfen		verb	A1	to help
Bereich	der Bereich, -e		der	B1	area, region
tatsächlich	tatsächlich		adj	B1	real, actual
Ort	der Ort, -e		der	A1	place, town, location
Abend	der Abend, -e		der, adv	A1	evening; in the evening
einzig	einzig		adj	B1	only, single
Stelle	die Stelle, -n		die	A1	place
unterschiedlich	unterschiedlich		adj	B1	different
Gesicht	das Gesicht, -er		das	A2	face
Entwicklung	die Entwicklung, -en		die	B1	development
Uhr	die Uhr, -en		die	A1	clock, watch, o’clock
mehrere	mehrere		pron	B1	several, multiple, various
schließen, schließt, schloss, hat geschlossen	schließen, schließt, schloss, hat geschlossen		verb	A1	to close
schließlich	schließlich		adv	A1	finally, eventually
legen, legt, legte, hat gelegt	legen, legt, legte, hat gelegt		verb	A1	to lay, put
direkt	direkt		adj	A2	direct, straight
daher	daher		pron	B1	from, there, therefore
offen	offen		adj	A2	open
erkennen, erkennt, erkannte, hat erkannt	erkennen, erkennt, erkannte, hat erkannt		verb	B1	to recognize, admit
Person	die Person, -en		die	A2	person
Moment	der Moment, -e		der	A1	moment
Schule	die Schule, -n		die	A1	school
darin, drin, drinnen	darin, drin, drinnen		pron	A1	in it, in there, inside
Auto	das Auto, -s		das	A1	automobile, car
niemand	niemand		pron	A2	no one, nobody
Gesellschaft	die Gesellschaft, -en		die	B1	society, company
warten, wartet, wartete, hat gewartet	warten, wartet, wartete, hat gewartet		verb	A1	to wait
vorstellen, stellt vor, stellte vor, hat vorgestellt	vorstellen, stellt vor, stellte vor, hat vorgestellt		verb	A2	to introduce, imagine
früh	früh		adj	A2	early
treten, tritt, trat, hat getreten	treten, tritt, trat, hat getreten		verb	B1	to step
reden, redet, redete, hat geredet	reden, redet, redete, hat geredet		verb	A2	to talk
Gruppe	die Gruppe, -n		die	A1	group
Ding	das Ding, -e		das	A2	thing
na	na		part	A1	well
gewinnen, gewinnt, gewann, hat gewonnen	gewinnen, gewinnt, gewann, hat gewonnen		verb	A1	to win, gain
zunächst	zunächst		adv	B1	first, at first, for now
damit	damit		conj	B1	so that
Tür	die Tür, -en		die	A2	door
Schritt	der Schritt, -e		der	B1	step
entwickeln, entwickelt, entwickelte, hat entwickelt	entwickeln, entwickelt, entwickelte, hat entwickelt		verb	B1	to develop
meiste	meiste		adj	A1	most
Möglichkeit	die Möglichkeit, -en		die	B1	possibility, chance
Sinn	der Sinn, -e		der	B1	sense, meaning
passieren, passiert, passierte, hat passiert	passieren, passiert, passierte, hat passiert		verb	A2	to take place, happen
manchmal	manchmal		adv	A2	sometimes
Vergleich	der Vergleich, -e		der	A1	comparison
System	das System, -e		das	B1	system
Rolle	die Rolle, -n		die	B1	role, roll
Ergebnis	das Ergebnis, -se		das	A1	result
vergleichen, vergleicht, verglich, hat verglichen	vergleichen, vergleicht, verglich, hat verglichen		verb	A2	to compare
voll	voll		adj	A2	full
erwarten, erwartet, erwartete, hat erwartet	erwarten, erwartet, erwartete, hat erwartet		verb	A1	to expect
obwohl	obwohl		conj	B1	although
Straße	die Straße, -n		die	A1	street
Angst	die Angst, -Äe		die	A2	fear, anxiety
allgemein	allgemein		adj	B1	general
fühlen, fühlt, fühlte, hat gefühlt	fühlen, fühlt, fühlte, hat gefühlt		verb	A2	to feel
jene	jene (r, s)		pron	A1	that, those
erinnern, erinnert, erinnerte, hat erinnert	erinnern, erinnert, erinnerte, hat erinnert		verb	A2	to remind
oh	oh		part	A1	oh, aw
bedeuten, bedeutet, bedeutete, hat bedeutet	bedeuten, bedeutet, bedeutete, hat bedeutet		verb	A1	to mean
Stimme	die Stimme, -n		die	B1	voice, vote
Reaktion	die Reaktion, -en		die	B1	reaction
wirken, wirkt, wirkte, hat gewirkt	wirken, wirkt, wirkte, hat gewirkt		verb	B1	to have an effect, take effect, work
darstellen, stellt dar, stellte dar, hat dargestellt	darstellen, stellt dar, stellte dar, hat dargestellt		verb	B1	to depict, portray, show
Raum	der Raum, -̈e		der	A1	room, space
Eltern	Eltern		die (pl)	A1	parents
bezeichnen, bezeichnet, bezeichnete, hat bezeichnet	bezeichnen, bezeichnet, bezeichnete, hat bezeichnet		verb	A2	to call, name
Funktion	die Funktion, -en		die	A2	function
häufig	häufig		adj	B1	frequent
erscheinen, erscheint, erschien, ist erschienen	erscheinen, erscheint, erschien, ist erschienen		verb	A2	to appear
USA	USA (Vereinigte Staaten von Amerika)		die	A2	USA, United States of America
Flüchtling	der Flüchtling, -e		der	A2	refugee
früher	früher		adv	A1	in former times
pro	pro		prep, das	A2	per; pro
ergeben, ergibt, ergab, hat ergeben	ergeben, ergibt, ergab, hat ergeben		verb	A2	to result in, produce
entscheiden, entscheidet, entschied, hat entschieden	entscheiden, entscheidet, entschied, hat entschieden		verb	B1	to decide
Universität	die Universität, -en (Uni)		die	A2	university
betreffen, betrifft, betraf, hat betroffen	betreffen, betrifft, betraf, hat betroffen		verb	A2	to affect, concern
oben	oben		adv	A1	above, up there
Richtung	die Richtung, -en		die	B1	direction
bestimmen, bestimmt, bestimmte, hat bestimmt	bestimmen, bestimmt, bestimmte, hat bestimmt		verb	A2	to decide, determine
fehlen, fehlt, fehlte, hat gefehlt	fehlen, fehlt, fehlte, hat gefehlt		verb	A1	to lack, be missing, be absent
Sprache	die Sprache, -n		die	A1	language
Produkt	das Produkt, -e		das	A2	product
Situation	die Situation, -en		die	A2	situation
außerdem	außerdem		adv	A2	besides, in addition
nämlich	nämlich		part	B1	you see, namely
international	international		adj	A1	international
Anfang	der Anfang, -̈e		der	A1	beginning
sechs	sechs		num	A1	six
nutzen, nutzt, nutzte, hat genutzt	nutzen, nutzt, nutzte, hat genutzt		verb	B1	to use
sozial	sozial		adj	B1	social
Folge	die Folge, -n		die	B1	result, consequences
Satz	der Satz, -̈e		der	A1	sentence
manche	manche (r, s)		pron	A1	some, many a
Verbindung	die Verbindung, -en		die	B1	connection, link
beschreiben, beschreibt, beschrieb, hat beschrieben	beschreiben, beschreibt, beschrieb, hat beschrieben		verb	A2	to describe
Licht	das Licht, -er		das	A1	light
ähnlich	ähnlich		adj	B1	similar
Regel	die Regel, -n		die	B1	rule
gegenüber	gegenüber		prep	A2	opposite
Kollege	der Kollege, -n		der	A1	colleague
bisher	bisher		adv	B1	until now, up to now, yet
tief	tief		adj	A2	deep
halb	halb		adj	B1	half
lachen, lacht, lachte, hat gelacht	lachen, lacht, lachte, hat gelacht		verb	A1	to laugh
ebenfalls	ebenfalls		adv	B1	likewise, also, as well
sofort	sofort		adv	A1	immediately
Grenze	die Grenze, -n		die	B1	border, frontier
ändern, ändert, änderte, hat geändert	ändern, ändert, änderte, hat geändert		verb	A2	to change
Entscheidung	die Entscheidung, -en		die	B1	decision
verlassen, verlässt, verließ, hat verlassen	verlassen, verlässt, verließ, hat verlassen		verb	B1	to leave
Idee	die Idee, -n		die	A2	idea
verbinden, verbindet, verband, hat verbunden	verbinden, verbindet, verband, hat verbunden		verb	B1	to connect, link, unite
Milliarde, Mrd.	Milliarde, Mrd.		die	A2	billion
endlich	endlich		adv	A2	finally, at last
Energie	die Energie, -n		die	B1	energy
plötzlich	plötzlich		adv	A2	suddenly
danach	danach		pron	B1	after it, afterwards
Kraft	die Kraft, -̈e		die	B1	strength, power
lieber	lieber		adv	A1	rather
gehören, gehört, gehörte, hat gehört	gehören, gehört, gehörte, hat gehört		verb	A1	to belong
einsetzen, setzt ein, setzte ein, hat eingesetzt	einsetzen, setzt ein, setzte ein, hat eingesetzt		verb	B1	to put in, insert
Gefühl	das Gefühl, -e		das	B1	feeling
trotzdem	trotzdem		adv	B1	nevertheless
befinden, befindet, befand, hat befunden	befinden (sich), befindet, befand, hat befunden		verb	B1	to be
Information	die Information, -en		die	A1	information
dadurch	dadurch		pron	A2	through it, as a result, as a consequence
dagegen	dagegen		pron	A2	against it, on the other hand
Weise	die Weise, -n		die	A2	way, manner
Zukunft	die Zukunft, -̈e		die	B1	future
wachsen, wächst, wuchs, ist gewachsen	wachsen, wächst, wuchs, ist gewachsen		verb	B1	to grow
bitte	bitte		adv	A1	please
weiß	weiß		adj	A2	white
Text	der Text, -e		der	A1	text
schwarz	schwarz		adj	A2	black
sterben, stirbt, starb, ist gestorben	sterben, stirbt, starb, ist gestorben		verb	A2	to die
Markt	der Markt, -̈e		der	A2	market
rot	rot		adj	A2	red
halt	halt		part	A2	just, simply
Meter, m	Meter, m		der	A2	meter
nahe, nah	nahe, nah		adj, prep	A2	near(by), close; near, close to
Hilfe	die Hilfe, -n		die	A1	help
Kapitel	das Kapitel, -		das	B1	chapter
ausgehen, geht aus, ging aus, ist ausgegangen	ausgehen, geht aus, ging aus, ist ausgegangen		verb	A2	to go out, assume
Bedeutung	die Bedeutung, -en		die	B1	meaning, significance
betrachten, betrachtet, betrachtete, hat betrachtet	betrachten, betrachtet, betrachtete, hat betrachtet		verb	A2	to look at, consider
Chemie	die Chemie, -n		die	A2	chemistry
Luft	die Luft, -̈e		die	B1	air
Körper	der Körper, -		der	A2	body
Struktur	die Struktur, -en		die	A2	structure
stimmen, stimmt, stimmte, hat gestimmt	stimmen, stimmt, stimmte, hat gestimmt		verb	B1	to be correct, vote, tune
bitten, bittet, bat, hat gebeten	bitten, bittet, bat, hat gebeten		verb	A1	to request, ask
Jahrhundert	das Jahrhundert, -e		das	A2	century
wahrscheinlich	wahrscheinlich		adj, adv	A2	likely, probable; probably, likely
öffentlich	öffentlich		adj	B1	public
euch	euch		pron	A1	you, yourselves
insgesamt	insgesamt		adv	B1	in all, altogether, in total
anfangen, fängt an, fing an, hat angefangen	anfangen, fängt an, fing an, hat angefangen		verb	A1	to begin, start
genug	genug		adv	A2	enough
Deutsche	das Deutsche		der, die	A2	German
verändern, verändert, veränderte, hat verändert	verändern, verändert, veränderte, hat verändert		verb	A2	to change
Wohnung	die Wohnung, -en		die	A1	apartment, flat
gelingen, gelingt, gelang, ist gelungen	gelingen, gelingt, gelang, ist gelungen		verb	B1	to succeed
bald	bald		adv	A1	soon
